UnixTimeStamp,TimeStamp,X,Y,Z
1215697207826,2008-07-10 13:40:07,01.00,01.26,00.95
1215697208826,2008-07-10 13:40:08,01.39,01.27,01.05
1215697209826,2008-07-10 13:40:09,02.35,02.23,01.49
1215697210842,2008-07-10 13:40:10,01.38,01.76,01.05
1215697211858,2008-07-10 13:40:11,01.20,01.68,01.88
1215697212858,2008-07-10 13:40:12,04.13,03.48,02.96
1215697213858,2008-07-10 13:40:13,,,,
1215697214888,2008-07-10 13:40:14,00.82,00.73,00.88
1215697215904,2008-07-10 13:40:15,,,,
1215697216904,2008-07-10 13:40:16,01.30,01.90,00.90
1215697217905,2008-07-10 13:40:17,00.87,01.28,01.08
1215697218920,2008-07-10 13:40:18,00.91,00.95,01.02
1215697219936,2008-07-10 13:40:19,00.72,01.19,00.94
1215697220936,2008-07-10 13:40:20,01.24,01.97,01.24
1215697221950,2008-07-10 13:40:21,02.27,02.27,01.24
1215697222967,2008-07-10 13:40:22,03.39,02.55,02.05
1215697223986,2008-07-10 13:40:23,03.16,03.13,01.94
1215697224986,2008-07-10 13:40:24,01.27,01.93,01.37
1215697225998,2008-07-10 13:40:25,01.15,01.10,01.12
1215697227014,2008-07-10 13:40:27,01.61,01.30,00.95
1215697228014,2008-07-10 13:40:28,01.22,01.36,00.80
1215697229014,2008-07-10 13:40:29,01.07,01.52,01.24
1215697230029,2008-07-10 13:40:30,01.65,02.16,01.47
1215697231029,2008-07-10 13:40:31,05.55,03.14,02.17
1215697232045,2008-07-10 13:40:32,01.50,01.83,01.33
1215697233060,2008-07-10 13:40:33,01.50,02.00,01.71
1215697234076,2008-07-10 13:40:34,01.18,01.09,00.80
1215697235092,2008-07-10 13:40:35,03.41,01.70,01.48
1215697236108,2008-07-10 13:40:36,01.90,01.10,01.50
1215697237108,2008-07-10 13:40:37,01.07,01.13,00.67
1215697238123,2008-07-10 13:40:38,01.45,01.87,01.13
1215697239139,2008-07-10 13:40:39,01.26,01.69,01.51
1215697240155,2008-07-10 13:40:40,01.17,00.94,00.77
1215697241155,2008-07-10 13:40:41,00.98,01.02,01.02
1215697242155,2008-07-10 13:40:42,00.95,01.33,00.95
1215697243155,2008-07-10 13:40:43,00.89,01.07,00.89
1215697244170,2008-07-10 13:40:44,01.30,01.84,01.00
1215697245170,2008-07-10 13:40:45,03.87,03.97,03.00
1215697246186,2008-07-10 13:40:46,01.54,02.80,01.22
1215697247311,2008-07-10 13:40:47,01.37,02.07,01.30
1215697248311,2008-07-10 13:40:48,01.23,01.32,01.55
1215697249311,2008-07-10 13:40:49,,,,
1215697250311,2008-07-10 13:40:50,00.68,01.18,00.75
1215697251311,2008-07-10 13:40:51,01.00,00.20,01.00
1215697252311,2008-07-10 13:40:52,,,,
1215697253311,2008-07-10 13:40:53,,,,
1215697254326,2008-07-10 13:40:54,01.96,03.75,01.13
1215697255342,2008-07-10 13:40:55,05.93,04.43,03.25
1215697256405,2008-07-10 13:40:56,03.84,02.90,02.32
1215697257405,2008-07-10 13:40:57,01.90,03.00,02.20
1215697258406,2008-07-10 13:40:58,01.00,01.45,01.16
1215697259436,2008-07-10 13:40:59,01.17,01.07,01.24
1215697260436,2008-07-10 13:41:00,01.23,01.07,00.70
