UnixTimeStamp,TimeStamp,X,Y,Z
1215697360094,2008-07-10 13:42:40,,,,
1215697361094,2008-07-10 13:42:41,,,,
1215697362097,2008-07-10 13:42:42,,,,
1215697363097,2008-07-10 13:42:43,,,,
1215697364109,2008-07-10 13:42:44,,,,
1215697365109,2008-07-10 13:42:45,,,,
1215697366109,2008-07-10 13:42:46,,,,
1215697367110,2008-07-10 13:42:47,,,,
1215697368140,2008-07-10 13:42:48,,,,
1215697369141,2008-07-10 13:42:49,02.10,11.86,07.14
1215697370156,2008-07-10 13:42:50,02.64,02.36,05.18
1215697371157,2008-07-10 13:42:51,01.12,01.71,02.82
1215697372157,2008-07-10 13:42:52,01.29,01.53,00.94
1215697373171,2008-07-10 13:42:53,00.85,01.27,00.90
1215697374176,2008-07-10 13:42:54,00.68,00.98,00.84
1215697375187,2008-07-10 13:42:55,00.59,00.92,00.79
1215697376187,2008-07-10 13:42:56,01.09,01.35,00.72
1215697377204,2008-07-10 13:42:57,00.98,01.29,01.07
1215697378218,2008-07-10 13:42:58,01.19,01.28,01.86
1215697379219,2008-07-10 13:42:59,01.44,01.07,01.86
1215697380224,2008-07-10 13:43:00,02.10,01.38,03.50
1215697381234,2008-07-10 13:43:01,10.81,06.19,08.67
1215697382250,2008-07-10 13:43:02,03.35,04.47,05.82
1215697383265,2008-07-10 13:43:03,04.89,05.44,07.98
1215697384265,2008-07-10 13:43:04,04.02,03.45,05.52
1215697385282,2008-07-10 13:43:05,05.53,04.73,07.58
1215697386296,2008-07-10 13:43:06,03.56,05.21,07.95
1215697387296,2008-07-10 13:43:07,03.00,02.31,04.31
1215697388296,2008-07-10 13:43:08,04.00,04.82,07.36
1215697389297,2008-07-10 13:43:09,06.10,12.10,15.07
1215697390297,2008-07-10 13:43:10,10.28,12.97,10.06
1215697391311,2008-07-10 13:43:11,07.84,13.89,07.50
1215697392315,2008-07-10 13:43:12,16.57,17.26,21.29
1215697393328,2008-07-10 13:43:13,16.21,12.85,14.79
1215697394328,2008-07-10 13:43:14,18.43,20.18,19.98
1215697395343,2008-07-10 13:43:15,06.30,06.00,06.28
1215697396343,2008-07-10 13:43:16,18.17,09.94,11.06
1215697397344,2008-07-10 13:43:17,10.33,06.95,05.49
1215697398344,2008-07-10 13:43:18,06.96,06.88,05.58
1215697399359,2008-07-10 13:43:19,06.83,04.17,05.50
1215697400360,2008-07-10 13:43:20,05.64,05.88,03.95
1215697401360,2008-07-10 13:43:21,11.80,08.57,05.86
1215697402374,2008-07-10 13:43:22,15.07,09.64,07.19
1215697403374,2008-07-10 13:43:23,08.17,07.60,03.60
1215697404374,2008-07-10 13:43:24,05.77,07.48,04.10
1215697405375,2008-07-10 13:43:25,04.42,05.82,03.52
1215697406375,2008-07-10 13:43:26,08.66,06.20,03.17
1215697407375,2008-07-10 13:43:27,04.11,05.13,03.39
1215697408390,2008-07-10 13:43:28,05.70,11.81,07.37
1215697409391,2008-07-10 13:43:29,05.78,14.10,08.50
1215697410391,2008-07-10 13:43:30,04.83,13.15,09.08
1215697411406,2008-07-10 13:43:31,09.68,12.34,10.59
1215697412407,2008-07-10 13:43:32,04.16,10.46,07.49
1215697413407,2008-07-10 13:43:33,04.50,08.09,06.86
1215697414407,2008-07-10 13:43:34,03.88,12.83,07.18
1215697415407,2008-07-10 13:43:35,04.02,10.49,11.77
1215697416407,2008-07-10 13:43:36,06.00,09.00,09.75
1215697417407,2008-07-10 13:43:37,04.03,13.37,07.87
1215697418407,2008-07-10 13:43:38,06.05,13.36,06.86
1215697419421,2008-07-10 13:43:39,03.98,07.07,04.48
1215697420422,2008-07-10 13:43:40,03.80,08.60,07.45
1215697421422,2008-07-10 13:43:41,07.86,20.09,12.79
1215697422422,2008-07-10 13:43:42,03.12,10.95,06.93
1215697423422,2008-07-10 13:43:43,04.29,15.76,09.15
1215697424435,2008-07-10 13:43:44,03.89,07.89,06.41
1215697425438,2008-07-10 13:43:45,04.68,10.85,07.20
1215697426438,2008-07-10 13:43:46,03.95,15.31,10.26
1215697427438,2008-07-10 13:43:47,04.29,14.14,08.00
1215697428438,2008-07-10 13:43:48,02.55,06.02,04.48
1215697429438,2008-07-10 13:43:49,06.83,13.22,08.81
1215697430439,2008-07-10 13:43:50,06.35,07.68,06.70
1215697431453,2008-07-10 13:43:51,04.56,07.86,06.53
1215697432453,2008-07-10 13:43:52,07.36,12.10,07.87
1215697433453,2008-07-10 13:43:53,05.97,12.73,07.32
1215697434453,2008-07-10 13:43:54,20.71,11.43,34.50
1215697435453,2008-07-10 13:43:55,03.53,07.86,07.30
1215697436453,2008-07-10 13:43:56,09.17,15.81,05.74
1215697437453,2008-07-10 13:43:57,02.80,05.49,03.10
1215697438453,2008-07-10 13:43:58,04.12,07.51,06.00
1215697439453,2008-07-10 13:43:59,02.83,06.00,02.81
1215697440453,2008-07-10 13:44:00,04.46,06.58,08.04
1215697441453,2008-07-10 13:44:01,10.40,12.43,14.19
1215697442453,2008-07-10 13:44:02,04.75,06.56,05.39
1215697443462,2008-07-10 13:44:03,08.19,11.38,17.57
1215697444469,2008-07-10 13:44:04,02.03,01.74,01.82
1215697445469,2008-07-10 13:44:05,02.55,03.73,03.25
1215697446484,2008-07-10 13:44:06,04.98,05.19,06.00
1215697447486,2008-07-10 13:44:07,02.44,04.90,03.36
1215697448486,2008-07-10 13:44:08,01.42,02.68,02.55
1215697449493,2008-07-10 13:44:09,02.18,02.75,02.65
1215697450500,2008-07-10 13:44:10,04.82,10.53,07.76
1215697451500,2008-07-10 13:44:11,03.00,02.57,03.14
1215697452509,2008-07-10 13:44:12,03.47,03.44,03.56
1215697453516,2008-07-10 13:44:13,03.10,03.55,02.38
1215697454516,2008-07-10 13:44:14,02.78,02.66,02.49
1215697455516,2008-07-10 13:44:15,03.41,07.15,05.02
1215697456516,2008-07-10 13:44:16,05.05,08.18,08.95
1215697457516,2008-07-10 13:44:17,03.77,03.85,03.23
1215697458516,2008-07-10 13:44:18,04.79,06.56,05.03
1215697459516,2008-07-10 13:44:19,03.24,07.20,04.93
1215697460516,2008-07-10 13:44:20,04.06,04.39,04.61
1215697461516,2008-07-10 13:44:21,04.05,10.60,06.25
