UnixTimeStamp,TimeStamp,Sampling
1215697526783,2008-07-10 13:45:26,39
1215697527783,2008-07-10 13:45:27,41
1215697528783,2008-07-10 13:45:28,36
1215697529783,2008-07-10 13:45:29,40
1215697530783,2008-07-10 13:45:30,41
1215697531783,2008-07-10 13:45:31,43
1215697532783,2008-07-10 13:45:32,37
1215697533783,2008-07-10 13:45:33,40
1215697534784,2008-07-10 13:45:34,41
1215697535798,2008-07-10 13:45:35,42
1215697536798,2008-07-10 13:45:36,41
1215697537798,2008-07-10 13:45:37,41
1215697538798,2008-07-10 13:45:38,42
1215697539798,2008-07-10 13:45:39,40
1215697540814,2008-07-10 13:45:40,39
1215697541814,2008-07-10 13:45:41,26
1215697542814,2008-07-10 13:45:42,41
1215697543814,2008-07-10 13:45:43,41
1215697544829,2008-07-10 13:45:44,42
1215697545829,2008-07-10 13:45:45,27
1215697546829,2008-07-10 13:45:46,39
1215697547829,2008-07-10 13:45:47,42
1215697548829,2008-07-10 13:45:48,40
1215697549846,2008-07-10 13:45:49,40
1215697550861,2008-07-10 13:45:50,42
1215697551877,2008-07-10 13:45:51,41
1215697552892,2008-07-10 13:45:52,43
1215697553892,2008-07-10 13:45:53,42
1215697554908,2008-07-10 13:45:54,38
1215697555924,2008-07-10 13:45:55,45
1215697556940,2008-07-10 13:45:56,40
1215697557954,2008-07-10 13:45:57,44
1215697558970,2008-07-10 13:45:58,36
1215697559971,2008-07-10 13:45:59,42
1215697560973,2008-07-10 13:46:00,36
1215697561986,2008-07-10 13:46:01,28
1215697562987,2008-07-10 13:46:02,38
1215697564001,2008-07-10 13:46:04,34
1215697565009,2008-07-10 13:46:05,43
1215697566017,2008-07-10 13:46:06,39
1215697567017,2008-07-10 13:46:07,44
1215697568018,2008-07-10 13:46:08,41
1215697569033,2008-07-10 13:46:09,42
1215697570034,2008-07-10 13:46:10,41
1215697571048,2008-07-10 13:46:11,41
1215697572050,2008-07-10 13:46:12,43
1215697573064,2008-07-10 13:46:13,41
1215697574065,2008-07-10 13:46:14,39
1215697575079,2008-07-10 13:46:15,44
1215697576080,2008-07-10 13:46:16,41
1215697577081,2008-07-10 13:46:17,40
1215697578095,2008-07-10 13:46:18,42
1215697579101,2008-07-10 13:46:19,22
1215697580112,2008-07-10 13:46:20,32
1215697581126,2008-07-10 13:46:21,24
