UnixTimeStamp,TimeStamp,X,Y,Z
1215697221950,2008-07-10 13:40:21,01.25,01.18,00.88
1215697222967,2008-07-10 13:40:22,01.00,01.44,01.04
1215697223986,2008-07-10 13:40:23,01.17,01.49,01.20
1215697224986,2008-07-10 13:40:24,01.57,02.32,01.14
1215697225998,2008-07-10 13:40:25,00.98,01.24,00.71
1215697227014,2008-07-10 13:40:27,01.10,01.45,01.10
1215697228014,2008-07-10 13:40:28,00.86,01.37,01.02
1215697229014,2008-07-10 13:40:29,02.12,01.57,02.33
1215697230029,2008-07-10 13:40:30,01.11,01.47,00.82
1215697231029,2008-07-10 13:40:31,01.28,01.26,01.03
1215697232045,2008-07-10 13:40:32,01.28,01.03,00.90
1215697233060,2008-07-10 13:40:33,00.91,01.50,01.95
1215697234076,2008-07-10 13:40:34,04.40,03.67,03.47
1215697235092,2008-07-10 13:40:35,05.40,03.07,06.74
1215697236108,2008-07-10 13:40:36,03.27,03.20,04.80
1215697237108,2008-07-10 13:40:37,06.79,07.45,05.70
1215697238123,2008-07-10 13:40:38,26.75,10.36,10.31
1215697239139,2008-07-10 13:40:39,04.60,05.63,06.54
1215697240155,2008-07-10 13:40:40,05.00,03.46,04.76
1215697241155,2008-07-10 13:40:41,07.60,04.57,12.89
1215697242155,2008-07-10 13:40:42,05.91,08.13,13.69
1215697243155,2008-07-10 13:40:43,07.33,03.86,04.97
1215697244170,2008-07-10 13:40:44,06.05,07.60,07.98
1215697245170,2008-07-10 13:40:45,04.57,03.52,04.45
1215697246186,2008-07-10 13:40:46,05.38,06.35,07.38
1215697247311,2008-07-10 13:40:47,02.80,02.73,02.66
1215697248311,2008-07-10 13:40:48,03.02,04.02,03.98
1215697249311,2008-07-10 13:40:49,05.89,05.47,07.18
1215697250311,2008-07-10 13:40:50,02.58,03.15,02.45
1215697251311,2008-07-10 13:40:51,01.87,02.79,02.90
1215697252311,2008-07-10 13:40:52,10.61,04.47,03.50
1215697253311,2008-07-10 13:40:53,06.98,08.78,02.80
1215697254326,2008-07-10 13:40:54,07.13,08.15,05.25
1215697255342,2008-07-10 13:40:55,11.78,12.43,04.48
1215697256405,2008-07-10 13:40:56,09.63,13.98,06.76
1215697257405,2008-07-10 13:40:57,01.11,01.74,01.11
1215697258406,2008-07-10 13:40:58,01.00,01.34,00.90
1215697259436,2008-07-10 13:40:59,01.21,01.21,00.86
1215697260436,2008-07-10 13:41:00,00.85,01.28,00.78
1215697261437,2008-07-10 13:41:01,00.68,01.34,00.90
1215697262467,2008-07-10 13:41:02,00.93,01.42,00.69
1215697263468,2008-07-10 13:41:03,00.84,01.56,01.09
1215697264468,2008-07-10 13:41:04,01.10,01.33,00.86
1215697265483,2008-07-10 13:41:05,01.09,01.44,01.19
1215697266483,2008-07-10 13:41:06,01.69,01.82,01.46
1215697267483,2008-07-10 13:41:07,01.30,01.78,00.93
1215697268483,2008-07-10 13:41:08,00.90,00.98,01.07
1215697269483,2008-07-10 13:41:09,00.74,00.98,00.74
1215697270483,2008-07-10 13:41:10,01.12,01.26,00.86
